08-Jul-24 03:51:30 : -----------------------------------------------------------------------------------------------------------------
08-Jul-24 03:51:30 :  Starting  - (rust.py) scraper
08-Jul-24 03:51:36 :  completed - Vingborg/Valencia
08-Jul-24 03:51:37 :  completed - Miller
08-Jul-24 03:51:37 :  completed - Girlband! (UK)
08-Jul-24 03:51:38 :  completed - DR PACKER (AU)
08-Jul-24 03:51:38 :  completed - ANNÆLIX + FIRKANT Releasekoncert
08-Jul-24 03:51:39 :  completed - Kasablanca
08-Jul-24 03:51:41 :  completed - Jeremy Troy
08-Jul-24 03:51:42 :  completed - Valgtemig releasekoncert
08-Jul-24 03:51:42 :  completed - TELENOVA (AU)
08-Jul-24 03:51:43 :  completed - Rust In Peace: Blazing Eternity + Altar Of Oblivion
08-Jul-24 03:51:44 :  completed - Evig Ferie (NO)
08-Jul-24 03:51:44 :  completed - Rust In Peace: Philip Sayce (CA)
08-Jul-24 03:51:45 :  completed - NAÂMAN (FR)
08-Jul-24 03:51:45 :  completed - AIKO (CZ)
08-Jul-24 03:51:46 :  completed - Baseløs
08-Jul-24 03:51:47 :  completed - ROSÉL
08-Jul-24 03:51:48 :  completed - Kessoncoda (UK)
08-Jul-24 03:51:49 :  completed - Siri Neel releasekoncert
08-Jul-24 03:51:49 :  completed - MadeinTYO (US)
08-Jul-24 03:51:50 :  completed - Dan Croll (UK)
08-Jul-24 03:51:50 :  completed - Rust In Peace: Hotel Hunger
08-Jul-24 03:51:51 :  completed - Rust In Peace: Hotel Hunger
08-Jul-24 03:51:51 :  completed - IST IST (UK)
08-Jul-24 03:51:52 :  completed - BLANKS (NL)
08-Jul-24 03:51:53 :  completed - Nils Hoffmann (DE)
08-Jul-24 03:51:54 :  completed - Rust In Peace: Maceration + Terrorpy + Crown The Beast
08-Jul-24 03:51:55 :  completed - total: 26
08-Jul-24 03:51:55 : -----------------------------------------------------------------------------------------------------------------
08-Jul-24 03:51:55 :  Starting  - (hotelcecil.py) scraper
08-Jul-24 03:51:56 :  completed - Rumpistol Ensemble
08-Jul-24 03:51:56 :  completed - Martin Kohlstedt (DE)
08-Jul-24 03:51:56 :  completed - Stefan Pasborg Trio
08-Jul-24 03:51:56 :  completed - Tom Skinner (UK)
08-Jul-24 03:51:56 :  completed - Isaiah Collier & The Chosen Few (US)
08-Jul-24 03:51:57 :  completed - Billie Marten (UK)
08-Jul-24 03:51:57 :  completed - Ana Frango ElÃ©trico (BR)
08-Jul-24 03:51:57 :  completed - 20_14 ASSEMBLY
08-Jul-24 03:51:57 :  completed - SmÃ¦kDown
08-Jul-24 03:51:57 :  completed - Knudsen/Bremer/Ewert
08-Jul-24 03:51:58 :  completed - Conrad Molden
08-Jul-24 03:51:58 :  completed - Bros
08-Jul-24 03:51:58 :  completed - Toldermania
08-Jul-24 03:51:58 :  completed - David Eugene Edwards (US)
08-Jul-24 03:51:58 :  completed - Ghost Iris
08-Jul-24 03:51:59 :  completed - Anne Bakland
08-Jul-24 03:51:59 :  completed - Bros
08-Jul-24 03:51:59 :  completed - Josh Berry (UK)
08-Jul-24 03:51:59 :  completed - Anne Bakland
08-Jul-24 03:51:59 :  completed - Crack Cloud (CAN)
08-Jul-24 03:52:00 :  completed - Bros
08-Jul-24 03:52:00 :  completed - RH
08-Jul-24 03:52:00 :  completed - Jacob AksglÃ¦de
